item1,item2,item3,item4,item5,item6,item7,item8,item9,female
2,1,1,1,1,1,1,1,1,1
2,2,1,1,1,2,1,1,1,1
3,2,3,3,1,2,1,1,1,1
1,2,1,1,1,4,1,1,1,0
2,1,1,3,1,1,2,1,1,1
3,1,2,1,3,2,2,2,1,1
5,5,5,5,2,1,1,7,1,1
1,1,2,1,1,2,1,1,2,1
2,1,2,1,1,2,1,1,2,0
3,5,1,2,1,2,1,1,2,1
8,8,8,8,8,7,1,1,2,1
2,1,1,2,1,1,2,1,2,0
5,5,2,2,2,2,1,2,2,1
1,6,1,1,1,1,2,2,2,1
2,2,2,2,2,1,2,2,2,1
2,2,2,2,2,2,2,2,2,1
2,3,3,2,2,4,2,3,2,1
4,5,5,7,5,NA,3,3,2,1
1,2,2,1,2,1,1,1,3,1
2,3,3,2,2,4,2,1,3,1
1,2,1,3,2,2,3,1,3,1
3,NA,5,4,3,3,1,2,3,1
4.5,4,3,5,5,5,1,2,3,1
3,6,2,5,5,6,3,3,3,0
7,6,5,7,7,5,4,3,3,1
5,7,4,8,2,5,2,4,3,1
4,6,7,6,2,6,4,6,3,1
6,7,3,4,25,8,5,6,3,1
7,8,6,4,1,7,1,1,4,0
1,2,1,1,1,2,1,2,4,0
4,3,2,3,2,2,1,2,4,1
2,2,3,2,3,2,1,2,4,0
1,1,4,2,2,6,1,2,4,1
4,4,3,4,5,3,3,3,4,0
3,3,4,3,3,5,4,4,4,0
5,5,5,5,5,4,4,5,4,1
4,3,3,8,5,3,9,10,4,1
1,1,3,1,1,1,1,1,5,0
1,1,6,1,1,2,1,1,5,1
1,1,2,1,1,3,2,1,5,0
1,1,1,1,2,3,2,1,5,1
1,1,3,3,1,1,4,1,5,1
7,10,4,5,1,1,1,3,5,0
2,4,1,3,1,2,2,3,5,1
6,4,4,4,2,3,2,3,5,1
4,4,7,3,5,3,3,3,5,1
7,9,10,1,3,6,7,3,5,1
5,5,3,4,3,8,2,4,5,1
5,5,5,5,5,5,5,5,5,1
5,8,5,10,5,7,5,5,5,0
5,8,5,5,5,7,7,5,5,1
9,9,5,6,7,9,8,8,5,1
5,6,6,3,1,1,1,1,6,1
10,3,6,9,NA,5,2,1,6,1
6,5,3,3,2,2,2,2,6,1
1,2,3,6,2,2,1,4,6,0
5,6,7,6,5,4,2,4,6,0
4,7,1,6,5,7,2,4,6,1
6,6,4,7,6,6,3,4,6,1
7,5,6,7,8,6,8,5,6,0
8,6,6,8,7,5,5,6,6,1
6,6,5,7,6,6,6,6,6,0
6,6,4,6,4,4,6,7,6,0
3,5,3,8,8,7,7,7,6,1
4,7,8,8,4,7,7,8,6,1
6,7,7,8,9,8,8,8,6,0
9,7,8,7,7,8,8,NA,6,1
2,5,2,7,6,7,2,1,7,0
6,6,6,1,1,2,2,2,7,0
3,2,3,7,5,1,2,3,7,0
3,3,3,3,3,3,3,3,7,0
6,8,7,6,3,7,6,3,7,1
6,4,7,7,6,8,7,4,7,1
7,8,6,6,7,8,7,7,7,0
6,6,7,7,5,5,10,7,7,1
4,7,6,7,6,7,8,8,7,1
4,4,5,5,7,7,9,9,7,1
1,1,1,1,1,1,1,1,8,1
1,1,2,3,1,1,1,1,8,1
1,1,1,3,3,2,1,1,8,0
3,7,2,6,3,5,1,1,8,1
3,3,7,2,7,3,2,1,8,0
8,8,10,6,1,8,2,1,8,1
1,1,5,1,1,5,3,1,8,0
1,1,6,5,1,2,4,1,8,1
3,3,3,3,3,3,3,3,8,1
2,4,2,3,6,4,4,3,8,0
5,3,2,2,1,5,4,3,8,0
9,9,10,8,2,5,2,5,8,0
6,6,6,9,4,8,2,6,8,0
6,5,8,6,3,6,3,6,8,1
4,3,10,6,6,8,10,7,8,1
4,4,7,8,3,5,3,8,8,1
7,7,7,5,7,8,8,8,8,0
8,8,8,8,8,8,8,8,8,1
8,8,7,9,9,8,8,8,8,1
7,8,6,9,8,9,10,8,8,0
8,9,9,8,8,8,8,9,8,1
7,10,7,9,9,10,9,9,8,0
2,9,1,3,2,7,1,1,9,1
1,6,5,8,2,8,1,1,9,1
2,2,2,2,2,3,3,3,9,1
7,8,8,9,6,9,4,6,9,1
6,3,8,4,4,7,1,7,9,1
6,7,7,8,7,8,5,7,9,1
3,2,4,5,3,8,3,8,9,0
10,10,10,10,10,10,8,10,9,0
8,8,8,10,9,9,10,10,9,1
1,2,1,3,1,1,1,1,10,0
6,6,2,8,5,5,1,1,10,1
5,5,10,1,1,1,3,1,10,1
10,10,7,10,7,4,2,2,10,1
7,3,8,3,5,2,4,3,10,1
5,5,8,5,5,5,5,5,10,1
7,7,5,8,8,8,5,7,10,1
10,8,10,1,10,5,4,8,10,0
7,7,8,5,6,6,8,8,10,1
10,10,10,10,10,9,9,10,10,1
10,10,10,10,10,10,10,10,10,1
