stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
10001,199502,1.5644,1,8,5,5,59.371,68.6447,3.5,3.5,6,5,5,6
10002,199511,-0.3699,2,8,3,2,47.6821,54.0863,4,4,6,NA,4,2
10003,199506,1.2741,2,3,7,NA,64.2431,55.6336,3.5,2.5,10,6,6,6
10004,199505,0.5498,2,8,4,NA,49.269,NA,3.5,4,10,6,NA,4
10005,199505,0.1495,1,8,4,NA,62.5897,50.5818,3.5,3.5,10,4,NA,NA
10006,199504,1.0639,2,8,3,3,58.1268,53.9958,3,3,8,6,5,NA
10007,199409,-0.43,2,8,2,NA,49.496,47.6403,2.5,2.5,11,5,4,3
10008,199410,1.5144,1,8,5,7,54.6249,62.8079,3.5,3.5,6,5,4,4
10009,199501,-0.3103,1,8,2,2,53.1875,59.8127,4,3.5,11,NA,3,4
10010,199503,0.0451,2,8,3,2,63.7986,61.4352,3.5,3.5,6,5,6,NA
10011,199506,1.2058,1,8,3,5,56.5005,44.3076,3.5,3,6,5,3,NA
10012,199502,2.4996,2,8,7,7,67.6823,61.5733,4,4,11,NA,5,5
10013,199509,2.5668,1,8,7,7,66.6624,64.6596,3.5,3.5,10,5,5,5
10014,199203,-0.8837,2,3,2,NA,32.4783,NA,NA,NA,6,2,NA,NA
10015,199408,0.9973,2,8,4,4,53.4016,53.8011,4,4,10,NA,4,4
10016,199505,0.0686,2,8,3,2,63.3795,61.5835,3.5,3.5,6,3,NA,4
10018,199411,1.3989,1,8,7,4,63.9808,64.3299,4,4,7,4,4,4
10019,199506,-0.0106,1,5,NA,NA,53.8914,53.4635,3,2.5,NA,5,4,4
10020,199411,-0.2746,1,8,2,3,48.4647,54.3535,2.5,3,8,5,4,4
10021,199501,0.4235,1,8,2,2,54.1491,58.4985,3.5,3,11,5,5,4
10022,199410,1.4372,1,2,5,5,57.9257,49.1708,3,3,8,6,5,5
10024,199504,0.1402,1,8,5,3,56.238,53.5581,3,3,8,4,4,5
10025,199402,-0.1901,1,8,NA,NA,37.7725,46.0875,1,0.5,NA,5,NA,3
10026,199503,1.1142,2,2,7,4,66.894,61.3957,4,3.5,10,NA,4,5
10027,199508,0.0887,2,8,2,4,47.5236,45.4814,1.5,1.5,6,NA,NA,NA
10028,199500,NA,1,NA,NA,NA,NA,36.7501,3,3,NA,NA,3,NA
10029,199405,-0.8297,1,8,1,NA,34.9344,NA,1.5,1.5,2,2,NA,NA
10030,199412,1.5809,2,8,5,5,70.8013,63.664,3.5,3.5,8,4,NA,5
10031,199500,NA,2,3,NA,NA,NA,35.6931,3,2.5,NA,NA,NA,NA
10033,199503,-0.6008,2,6,2,1,28.9385,NA,NA,NA,4,NA,NA,NA
10034,199411,-0.0409,2,5,NA,NA,44.3582,40.308,1.5,1.5,NA,3,NA,3
10035,199300,NA,1,3,2,2,NA,45.77,2,2,11,NA,NA,NA
10036,199503,0.1493,2,8,3,3,56.6409,52.2038,3.5,3,6,5,4,4
10037,199506,0.5238,2,8,3,3,62.7847,52.1973,4,4,8,5,6,6
10038,199507,1.0472,1,2,4,NA,33.6149,51.8459,2,1.5,4,4,NA,NA
10039,199410,0.6753,2,2,4,4,65.5911,32.784,4,3.5,10,5,6,4
10040,199411,-0.082,1,8,NA,NA,30.1157,NA,1.5,1.5,NA,6,NA,NA
10041,199312,-0.7046,2,8,2,NA,33.5529,45.2625,1.5,2,1,NA,5,2
10042,199311,-0.0821,1,8,NA,NA,46.8918,NA,0.5,0.5,NA,4,NA,NA
10043,199407,-0.3642,2,8,NA,NA,46.9388,43.7001,2.5,2.5,NA,4,4,3
10044,199409,1.3291,1,8,4,7,67.1436,70.3431,3.5,3.5,10,6,6,5
10045,199501,-0.2739,2,8,2,3,45.1566,39.7466,NA,NA,4,3,3,NA
10046,199409,-0.1707,2,8,NA,NA,47.4921,51.5154,3,2,NA,NA,4,NA
10047,199500,NA,1,NA,NA,NA,NA,52.065,NA,NA,NA,NA,4,NA
10048,199308,-0.2888,2,8,NA,NA,48.3878,52.3038,3,2.5,NA,3,2,NA
10049,199506,0.3972,2,5,2,5,62.5559,69.39,4,4,8,5,6,5
10050,199508,-1.1012,2,8,2,NA,31.7241,47.8511,1.5,1.5,11,2,4,4
10052,199503,-0.5433,2,8,NA,NA,38.5212,37.2593,3,2.5,NA,NA,2,NA
10053,199411,0.9842,1,8,4,NA,54.806,NA,2,2,6,6,NA,NA
10054,199505,-0.2606,2,6,2,2,48.8039,49.0123,3.5,2,8,5,5,NA
10055,199412,1.4132,1,2,5,5,69.24,74.592,4,3.5,8,5,5,NA
10056,199508,-0.7901,2,8,2,NA,56.8163,48.5795,3,2.5,11,4,4,4
10057,199500,NA,2,NA,NA,NA,NA,60.1523,3,2,NA,NA,NA,NA
10058,199410,0.5511,2,2,4,4,54.9576,45.5784,3,3,6,NA,NA,4
10059,199400,NA,1,NA,NA,NA,NA,55.4241,3.5,3.5,NA,NA,6,NA
10060,199409,-0.0058,1,5,1,NA,55.0993,53.4362,2.5,2.5,10,6,NA,5
10061,199505,1.165,1,2,NA,NA,64.4295,NA,3,3,NA,NA,NA,4
10062,199507,-0.7022,1,6,2,2,48.5401,56.7695,3.5,2.5,3,6,4,NA
10063,199505,-0.6763,1,5,NA,NA,49.8739,32.2622,2.5,2,NA,4,4,NA
10064,199510,-0.1112,2,8,2,2,50.3536,55.6154,3.5,3.5,6,NA,3,4
10065,199409,-0.5381,2,8,2,2,45.847,48.3718,3,1.5,10,4,3,NA
10066,199406,-0.3694,1,8,2,2,43.6624,50.9818,2,1.5,6,2,NA,NA
10067,199501,-1.7526,1,2,1,NA,65.7365,65.9677,3.5,3,6,5,5,6
10068,199407,-0.0872,2,8,NA,NA,50.2947,47.3476,2.5,2.5,NA,6,3,NA
10069,199412,1.6587,1,2,7,4,54.8354,68.6119,3.5,3.5,10,5,NA,NA
10070,199408,2.0218,1,8,4,7,61.1801,59.5097,3.5,3.5,8,6,6,NA
10071,199410,-0.2749,2,8,NA,NA,48.5055,50.4151,2.5,2,NA,NA,NA,NA
10072,199403,-0.0998,2,8,2,2,43.2763,39.6578,3.5,3,4,2,5,5
10074,199510,-0.2813,2,6,2,2,49.3308,36.1914,2,1.5,2,6,3,5
10075,199310,-0.231,2,8,2,4,49.573,49.3473,3,3,6,5,5,4
10076,199400,NA,1,NA,NA,NA,NA,36.1933,1.5,1,NA,NA,NA,2
10077,199509,-0.5803,2,8,2,2,53.9985,53.632,2.5,2.5,4,4,NA,NA
10078,199504,2.1586,1,3,5,7,73.529,65.5973,4,3.5,6,6,5,4
10079,199511,0.0865,2,6,2,NA,61.4345,55.9613,NA,2.5,4,NA,NA,NA
10080,199503,0.2028,2,3,4,NA,38.6225,45.1579,1,2.5,6,NA,NA,5
10081,199500,NA,2,NA,NA,NA,NA,45.059,2.5,2.5,NA,NA,NA,NA
10082,199400,NA,1,NA,NA,NA,NA,33.3081,1,1.5,NA,NA,1,NA
10084,199509,0.0884,1,8,3,2,67.0552,55.8666,4,4,6,5,4,5
10085,199405,-0.2902,1,8,NA,NA,45.2292,60.3485,2,1.5,NA,3,4,NA
10086,199505,-0.0996,2,2,NA,NA,63.5164,63.9407,NA,NA,NA,5,5,NA
10087,199507,-0.9782,1,6,3,NA,55.8121,52.3377,2.5,1.5,8,4,4,4
10088,199505,0.3647,2,6,NA,NA,49.7352,51.7461,3.5,3,NA,6,4,NA
10089,199411,0.984,1,3,5,NA,39.5401,43.9212,NA,2,8,5,4,NA
10090,199506,-0.0322,2,6,4,4,50.1433,50.607,3,3,6,NA,NA,6
10091,199501,-0.7627,1,5,1,1,51.2382,37.1459,2.5,2.5,5,3,2,NA
10092,199309,-0.6288,1,8,NA,NA,27.9219,35.2033,1,1,NA,2,1,2
10093,199502,-0.1513,1,8,4,2,49.5211,56.6855,3.5,3,6,6,5,2
10094,199502,1.7567,1,8,7,4,63.2917,NA,3,3,6,4,NA,5
10095,199504,0.122,2,6,2,5,67.7484,63.3464,3.5,3,8,6,6,6
10096,199509,-0.3442,2,3,2,2,47.1642,47.5031,NA,NA,6,NA,5,5
10097,199507,0.9349,2,5,3,4,53.6645,50.4829,2.5,2.5,8,5,5,NA
10099,199508,1.4352,2,8,5,4,52.6311,60.6802,4,3.5,8,6,NA,5
10100,199506,-0.1266,2,8,1,3,42.3864,49.4343,2,1.5,10,6,3,4
10101,199412,-0.1066,2,8,NA,NA,31.5936,NA,1.5,0.5,NA,NA,NA,2
10102,199507,0.9312,1,3,4,5,46.4191,43.247,2,1.5,10,5,4,NA
10103,199400,NA,1,5,1,1,NA,42.3615,1.5,2,11,NA,5,4
10104,199403,0.034,1,8,NA,NA,41.9997,NA,NA,NA,NA,5,NA,NA
